"title","rating","reviews","type","address","description","serviceOptions","gpsCoordinates","placeUrl","dataId","website"
"Aariff Hostel","3.7","3","Boy's Hostel","6JQQ+9R8, Chhotapara Rd",,"","{""latitude"":""21.2384102"",""longitude"":""81.6395692""}","https://www.google.com/maps/place/Aariff+Hostel/data=!4m7!3m6!1s0x3a28dda38417bb11:0x5798759ecb06b629!8m2!3d21.2384102!4d81.6395692!16s%2Fg%2F11dxck7v3j!19sChIJEbsXhKPdKDoRKbYGy551mFc?authuser=0&hl=en&rclk=1","0x3a28dda38417bb11:0x5798759ecb06b629",
"JBM PG","3.8","11","Hostel","Hostel",,"","{""latitude"":""21.2193848"",""longitude"":""81.6562622""}","https://www.google.com/maps/place/JBM+PG/data=!4m7!3m6!1s0x3a28dd0be004a51b:0x82d86f5474d25248!8m2!3d21.2193848!4d81.6562622!16s%2Fg%2F11q22_f3vx!19sChIJG6UE4AvdKDoRSFLSdFRv2II?authuser=0&hl=en&rclk=1","0x3a28dd0be004a51b:0x82d86f5474d25248","https://jbm-pg.business.site/?utm_source=gmb&utm_medium=referral"
"Solo Living Girls PG","4.9","8","Hostel","C1, 87/7","Open ⋅ Closes 11:30 pm  097528 53877","""Best Hostel for Girls in Raipur""","{""latitude"":""21.2249235"",""longitude"":""81.6608033""}","https://www.google.com/maps/place/Solo+Living+Girls+PG/data=!4m7!3m6!1s0x3a28ddc813741fdd:0x83db6223deae1f6!8m2!3d21.2249235!4d81.6608033!16s%2Fg%2F11pyybsp8l!19sChIJ3R90E8jdKDoR9uHqPSK2PQg?authuser=0&hl=en&rclk=1","0x3a28ddc813741fdd:0x83db6223deae1f6","https://solo-living-girls-pg.business.site/?utm_source=gmb&utm_medium=referral"
"Hostel","2.2","26","Girl's Hostel","Hanuman Nagar Kali Badi Chowk HNo. 132",,"","{""latitude"":""21.2341204"",""longitude"":""81.6395586""}","https://www.google.com/maps/place/Hostel/data=!4m7!3m6!1s0x3a28dd93c7a3719f:0xa987fb9e4cdfa795!8m2!3d21.2341204!4d81.6395586!16s%2Fg%2F11gf97308l!19sChIJn3Gjx5PdKDoRlaffTJ77h6k?authuser=0&hl=en&rclk=1","0x3a28dd93c7a3719f:0xa987fb9e4cdfa795","https://ayesha-girls-hostel-girls-hostel.business.site/"
"R.K. Hills girls hostel","4.0","53","Girl's Hostel","Ring Road No. 1, Pachpedi Naka Rd","Open ⋅ Closes 8 pm  086029 00890","""Pretty good hostel, give good vibes indeed.""","{""latitude"":""21.2212252"",""longitude"":""81.6463559""}","https://www.google.com/maps/place/R.K.+Hills+girls+hostel/data=!4m7!3m6!1s0x3a28ddaab0e6e403:0xfedfd6c07c0c76b1!8m2!3d21.2212252!4d81.6463559!16s%2Fg%2F11c45npsl7!19sChIJA-TmsKrdKDoRsXYMfMDW3_4?authuser=0&hl=en&rclk=1","0x3a28ddaab0e6e403:0xfedfd6c07c0c76b1",
"A1 Girls & Working Women Hostel","4.5","39","Girl's Hostel","Fawara Chowk","Open ⋅ Closes 9 pm  070009 63843","""Hostel in a posh location of Raipur, Chhattisgarh.""","{""latitude"":""21.2349189"",""longitude"":""81.6453138""}","https://www.google.com/maps/place/A1+Girls+%26+Working+Women+Hostel/data=!4m7!3m6!1s0x3a28dd425e62d67b:0x451faf47ae1589d9!8m2!3d21.2349189!4d81.6453138!16s%2Fg%2F11hzpn52fg!19sChIJe9ZiXkLdKDoR2YkVrkevH0U?authuser=0&hl=en&rclk=1","0x3a28dd425e62d67b:0x451faf47ae1589d9","https://a1-girls-working-women-hostel.business.site/?utm_source=gmb&utm_medium=referral"
"Sun Hostel Pg Dormitory","3.9","18","Hostel","Bhawanipatna - Raipur Hwy","Open 24 hours  088176 08866","""very nice PG Hostel and facility so good .""","{""latitude"":""21.2397034"",""longitude"":""81.6658606""}","https://www.google.com/maps/place/Sun+Hostel+Pg+Dormitory/data=!4m7!3m6!1s0x3a28dd66a336b6b1:0xdae21c2b8b4bc75a!8m2!3d21.2397034!4d81.6658606!16s%2Fg%2F11gw2pqkyx!19sChIJsbY2o2bdKDoRWsdLiysc4to?authuser=0&hl=en&rclk=1","0x3a28dd66a336b6b1:0xdae21c2b8b4bc75a",
"Ujjawal Residency Girls Hostel","3.4","9","Girl's Hostel","6M92+G6R, Unnamed Road",,"","{""latitude"":""21.2188666"",""longitude"":""81.6505067""}","https://www.google.com/maps/place/Ujjawal+Residency+Girls+Hostel/data=!4m7!3m6!1s0x3a28dde391f91359:0xf25c1b759b14d9a7!8m2!3d21.2188666!4d81.6505067!16s%2Fg%2F11g0kfslvq!19sChIJWRP5kePdKDoRp9kUm3UbXPI?authuser=0&hl=en&rclk=1","0x3a28dde391f91359:0xf25c1b759b14d9a7",
"SHIVA GIRL,S HOSTEL","4.3","3","Girl's Hostel","6JCW+3VC, Pachpedi Naka Rd",,"","{""latitude"":""21.2201929"",""longitude"":""81.6471498""}","https://www.google.com/maps/place/SHIVA+GIRL,S+HOSTEL/data=!4m7!3m6!1s0x3a28dde99c4de9bd:0x10728a8a6ad51c75!8m2!3d21.2201929!4d81.6471498!16s%2Fg%2F11hytbd55z!19sChIJvelNnOndKDoRdRzVaoqKchA?authuser=0&hl=en&rclk=1","0x3a28dde99c4de9bd:0x10728a8a6ad51c75",
"Sun Hostel Pg Dormitory Girls","4.7","3","Hostel","Street No 7 Telibhandha Gaurav path Raipur Chhattisgarh Street No 7, Gaurav Path","Open 24 hours","","{""latitude"":""21.2358468"",""longitude"":""81.6635395""}","https://www.google.com/maps/place/Sun+Hostel+Pg+Dormitory+Girls/data=!4m7!3m6!1s0x3a28dd4fc6dc050d:0xb904fbc83318191f!8m2!3d21.2358468!4d81.6635395!16s%2Fg%2F11t9qz64x4!19sChIJDQXcxk_dKDoRHxkYM8j7BLk?authuser=0&hl=en&rclk=1","0x3a28dd4fc6dc050d:0xb904fbc83318191f",
